Language,Key,Original Text (FR)
"en","eventdetailspage.dsinscrire","Se désinscrire"
"en","eventdetailspage.entre_libre_aucune","Entrée libre, aucune inscription requise"
"en","eventdetailspage.facebook","Facebook"
"en","eventdetailspage.twitter","Twitter"
"en","eventdetailspage.copier_lien","Copier le lien"
"en","eventdetailspage.certificat_participation_sera","Un certificat de participation sera délivré"
"en","eventdetailspage.galerie","Galerie"
"en","eventdetailspage.photo","photo"
"en","eventdetailspage.voir_toutes_les","Voir toutes les photos"
"en","eventdetailspage.partagez_votre_avis","Partagez votre avis sur cet événement"
"en","eventdetailspage.votre_commentaire","Votre commentaire"
"en","eventdetailspage.placeholder_crivez_votre_commentaire","Écrivez votre commentaire ici..."
"en","eventdetailspage.annuler","Annuler"
"en","eventdetailspage.envoi","Envoi..."
"en","eventdetailspage.envoyer","Envoyer"
"en","evenements.message_rate_limit_atteint","Rate limit atteint!"
"en","evenements.message_proche_limite","Proche de la limite"
"en","evenements.message_mode_ralenti_actif","Mode ralenti actif"
"en","evenements.message_tout_bien","Tout va bien"
"en","evenements.file_dattente","File d'attente:"
"en","evenements.requtes","requête(s)"
"en","evenements.rate_limit","Rate Limit"
"en","evenements.tat_rate_limit","État du Rate Limit"
"en","evenements.file_dattente_1","File d'attente:"
"en","evenements.cache","Cache:"
"en","evenements.entres","entrées"
"en","evenements.reqminute","Req/minute:"
"en","evenements.dlai_actuel","Délai actuel:"
"en","evenements.ms","ms"
"en","evenements.429_hits","429 hits:"
"en","evenements.vider_cache_recharger","Vider cache & recharger"
"en","evenements.vnements_culturels","Événements culturels"
"en","evenements.participez_aux_vnements","Participez aux événements qui animent la scène culturelle algérienne"
"en","evenements.vnement","événement"
"en","evenements.disponible","disponible"
"en","evenements.ressayer","Réessayer"
"en","evenements.tous_les_statuts","Tous les statuts"
"en","evenements.venir","À venir"
"en","evenements.cours","En cours"
"en","evenements.passs","Passés"
"en","evenements.toutes_catgories","Toutes catégories"
"en","evenements.aucun_vnement_correspond","Aucun événement ne correspond à vos critères de recherche."
"en","evenements.complet","Complet"
"en","evenements.dtails_vnement","Détails événement"
"en","dashboarduser.mon_espace_personnel","Mon espace personnel"
"en","dashboarduser.bienvenue","Bienvenue"
"en","dashboarduser.grez_votre_profil","! Gérez votre profil et vos favoris"
"en","dashboarduser.compte_visiteur","Compte visiteur"
"en","dashboarduser.tant_que_visiteur","En tant que visiteur, vous pouvez consulter le contenu et ajouter vos favoris. 
              Pour créer des œuvres ou organiser des événements,"
"en","dashboarduser.inscrivezvous_comme_professionnel","inscrivez-vous comme professionnel"
"en","dashboarduser.total_favoris","Total favoris"
"en","dashboarduser.uvres_favorites","Œuvres favorites"
"en","dashboarduser.vnements_suivis","Événements suivis"
"en","dashboarduser.sites_favoris","Sites favoris"
"en","dashboarduser.mes_favoris","Mes favoris"
"en","dashboarduser.notifications","Notifications"
"en","dashboarduser.mon_profil","Mon profil"
"en","dashboarduser.uvres_favorites_1","Œuvres favorites"
"en","dashboarduser.par","• Par"
"en","dashboarduser.ajout","Ajouté le"
"en","dashboarduser.voir","Voir"
"en","dashboarduser.aucune_uvre_favorite","Aucune œuvre favorite"
"en","dashboarduser.explorer_les_uvres","Explorer les œuvres"
"en","dashboarduser.vnements_suivis_1","Événements suivis"
"en","dashboarduser.ajout_1","Ajouté le"
"en","dashboarduser.voir_1","Voir"
"en","dashboarduser.aucun_vnement_suivi","Aucun événement suivi"
"en","dashboarduser.dcouvrir_les_vnements","Découvrir les événements"
"en","dashboarduser.sites_patrimoniaux_favoris","Sites patrimoniaux favoris"
"en","dashboarduser.ajout_2","Ajouté le"
"en","dashboarduser.voir_2","Voir"
"en","dashboarduser.aucun_site_favori","Aucun site favori"
"en","dashboarduser.explorer_patrimoine","Explorer le patrimoine"
"en","dashboarduser.notifications_1","Notifications"
"en","dashboarduser.nouvel_vnement_dans","Nouvel événement dans votre région"
"en","dashboarduser.festival_musique_andalouse","Le Festival de musique andalouse aura lieu le 20 mars à Alger."
"en","dashboarduser.aucune_autre_notification","Aucune autre notification"
"en","dashboarduser.informations_personnelles","Informations personnelles"
"en","dashboarduser.prnom","Prénom"
"en","dashboarduser.nom","Nom"
"en","dashboarduser.email","Email"
"en","dashboarduser.type_compte","Type de compte"
"en","dashboarduser.visiteur","Visiteur"
"en","dashboarduser.membre_depuis","Membre depuis"
"en","dashboarduser.vous_souhaitez_crer","Vous souhaitez créer du contenu ?"
"en","dashboarduser.devenir_professionnel","Devenir professionnel"
"en","dashboarduser.modifier_profil","Modifier le profil"
"en","dashboardpro.participants","participants"
"en","dashboardpro.visites","visites"
"en","dashboardpro.da","DA"
"en","dashboardpro.dashboard_professionnel","Dashboard Professionnel"
"en","dashboardpro.grez_vos_crations","Gérez vos créations culturelles"
"en","dashboardpro.actualiser","Actualiser"
"en","dashboardpro.uvres","Œuvres"
"en","dashboardpro.vnements","Événements"
"en","dashboardpro.services","Services"
"en","dashboardpro.vues_totales","Vues totales"
"en","dashboardpro.uvres_1","Œuvres"
"en","dashboardpro.vnements_1","Événements"
"en","dashboardpro.services_1","Services"
"en","dashboardpro.patrimoine","Patrimoine"
"en","dashboardpro.placeholder_rechercher","Rechercher..."
"en","dashboardpro.mes_uvres","Mes œuvres ("
"en","dashboardpro.nouvelle_uvre","Nouvelle œuvre"
"en","dashboardpro.aucune_uvre_cre","Aucune œuvre créée"
"en","dashboardpro.crer_premire_uvre","Créer ma première œuvre"
"en","dashboardpro.mes_vnements","Mes événements ("
"en","dashboardpro.nouvel_vnement","Nouvel événement"
"en","dashboardpro.aucun_vnement","Aucun événement créé"
"en","dashboardpro.crer_mon_premier","Créer mon premier événement"
"en","dashboardpro.mes_services","Mes services ("
"en","dashboardpro.nouveau_service","Nouveau service"
"en","dashboardpro.aucun_service","Aucun service créé"
"en","dashboardpro.crer_mon_premier_1","Créer mon premier service"
"en","dashboardpro.mon_patrimoine","Mon patrimoine ("
"en","dashboardpro.nouveau_site","Nouveau site"
"en","dashboardpro.aucun_site_patrimoine","Aucun site patrimoine enregistré"
"en","dashboardpro.ajouter_mon_premier","Ajouter mon premier site"
"en","dashboardadmin.label_validation","Validation"
"en","dashboardadmin.label_rejet","Rejet"
"en","dashboardadmin.label_message","Message"
"en","dashboardadmin.label_suspension","Suspension"
"en","dashboardadmin.label_ractivation","Réactivation"
"en","dashboardadmin.label_information","Information"
"en","dashboardadmin.label_avertissement","Avertissement"
"en","dashboardadmin.title_connexion_tablie","Connexion établie"
"en","dashboardadmin.description_notifications_temps_rel","Notifications temps réel activées"
"en","dashboardadmin.title_notification_envoye","Notification envoyée"
"en","dashboardadmin.voir_lhistorique","Voir l'historique"
"en","dashboardadmin.title_erreur","Erreur"
"en","dashboardadmin.description_impossible_denvoyer_notifica","Impossible d'envoyer la notification"
"en","dashboardadmin.title_erreur_1","Erreur"
"en","dashboardadmin.description_veuillez_remplir_tous","Veuillez remplir tous les champs obligatoires"
"en","dashboardadmin.title_notification_globale_envoye","Notification globale envoyée"
"en","dashboardadmin.description_tous_les_utilisateurs","Tous les utilisateurs recevront cette notification"
"en","dashboardadmin.title_erreur_2","Erreur"
"en","dashboardadmin.description_impossible_denvoyer_notifica_1","Impossible d'envoyer la notification globale"
"en","dashboardadmin.title_erreur_3","Erreur"
"en","dashboardadmin.description_veuillez_remplir_tous_1","Veuillez remplir tous les champs"
"en","dashboardadmin.title_aucune_slection","Aucune sélection"
"en","dashboardadmin.title_succs","Succès"
"en","dashboardadmin.title_erreur_4","Erreur"
"en","dashboardadmin.description_une_erreur_est","Une erreur est survenue lors du traitement"
"en","dashboardadmin.title_erreur_5","Erreur"
"en","dashboardadmin.description_veuillez_indiquer_une","Veuillez indiquer une raison pour la suspension"
"en","dashboardadmin.message_votre_mot_passe","Votre mot de passe a été réinitialisé. Un email contenant les instructions vous a été envoyé."
"en","dashboardadmin.message_votre_compte_ractiv","Votre compte a été réactivé. Vous pouvez à nouveau accéder à tous les services."
"en","dashboardadmin.priode_prcdente","% vs période précédente"
"en","dashboardadmin.affichage","Affichage de"
"en","dashboardadmin.sur","sur"
"en","dashboardadmin.rsultats","résultats"
"en","dashboardadmin.page","Page"
"en","dashboardadmin.sur_1","sur"
"en","dashboardadmin.type_notification","Type de notification"
"en","dashboardadmin.titre","Titre *"
"en","dashboardadmin.placeholder_titre_notification","Titre de la notification"
"en","dashboardadmin.message","Message *"
"en","dashboardadmin.placeholder_message_notification","Message de la notification"
"en","dashboardadmin.priorit","Priorité"
"en","dashboardadmin.basse","Basse"
"en","dashboardadmin.normale","Normale"
"en","dashboardadmin.haute","Haute"
"en","dashboardadmin.urgente","Urgente"
"en","dashboardadmin.canaux_notification","Canaux de notification"
"en","dashboardadmin.dans_lapplication","Dans l'application"
"en","dashboardadmin.notification_push","Notification push"
"en","dashboardadmin.email","Email"
"en","dashboardadmin.aperu","Aperçu"
"en","dashboardadmin.annuler","Annuler"
"en","dashboardadmin.envoyer","Envoyer"
"en","dashboardadmin.tableau_bord_administrateur","Tableau de bord administrateur"
"en","dashboardadmin.vue_densemble_plateforme","Vue d'ensemble de la plateforme Action Culture"
"en","dashboardadmin.connect","Connecté"
"en","dashboardadmin.dconnect","Déconnecté"
"en","dashboardadmin.notifications_rcentes","Notifications récentes"
"en","dashboardadmin.aucune_notification_rcente","Aucune notification récente"
"en","dashboardadmin.voir_toutes_les","Voir toutes les notifications"
"en","dashboardadmin.notification_globale","Notification globale"
"en","dashboardadmin.aujourdhui","Aujourd'hui"
"en","dashboardadmin.cette_semaine","Cette semaine"
"en","dashboardadmin.mois","Ce mois"
"en","dashboardadmin.cette_anne","Cette année"
"en","dashboardadmin.actualiser","Actualiser"
"en","dashboardadmin.export","Export"
"en","dashboardadmin.rapport_dactivit","Rapport d'activité"
"en","dashboardadmin.rapport_modration","Rapport de modération"
"en","dashboardadmin.rapport_patrimoine","Rapport patrimoine"
"en","dashboardadmin.vider_cache","Vider cache"
"en","dashboardadmin.title_utilisateurs","Utilisateurs"
"en","dashboardadmin.title_uvres","Œuvres"
"en","dashboardadmin.title_vnements","Événements"
"en","dashboardadmin.title_patrimoine","Patrimoine"
"en","dashboardadmin.utilisateurs_attente","Utilisateurs en attente"
"en","dashboardadmin.title_valider","Valider"
"en","dashboardadmin.title_rejeter","Rejeter"
"en","dashboardadmin.voir_tous_les","Voir tous les utilisateurs en attente →"
"en","dashboardadmin.aucun_utilisateur_attente","Aucun utilisateur en attente"
"en","dashboardadmin.uvres_attente","Œuvres en attente"
"en","dashboardadmin.voir_toutes_les_1","Voir toutes les œuvres →"
"en","dashboardadmin.aucune_uvre_attente","Aucune œuvre en attente"
"en","dashboardadmin.signalements","Signalements"
"en","dashboardadmin.voir_tous_les_1","Voir tous les signalements →"
"en","dashboardadmin.aucun_signalement_attente","Aucun signalement en attente"
"en","dashboardadmin.vue_densemble","Vue d'ensemble"
"en","dashboardadmin.utilisateurs","Utilisateurs"
"en","dashboardadmin.uvres","Œuvres"
"en","dashboardadmin.vnements","Événements"
"en","dashboardadmin.patrimoine","Patrimoine"
"en","dashboardadmin.services","Services"
"en","dashboardadmin.modration","Modération"
"en","dashboardadmin.activit_plateforme","Activité de la plateforme"
"en","dashboardadmin.graphiques_dactivit","Graphiques d'activité"
"en","dashboardadmin.les_donnes_seront","Les données seront affichées ici"
"en","dashboardadmin.rpartition_des_utilisateurs","Répartition des utilisateurs"
"en","dashboardadmin.activit_rcente","Activité récente"
"en","dashboardadmin.gestion_des_utilisateurs","Gestion des utilisateurs"
"en","dashboardadmin.liste_complte_des","Liste complète des utilisateurs ("
"en","dashboardadmin.rsultats_1","résultats)"
"en","dashboardadmin.inviter_utilisateur","Inviter un utilisateur"
"en","dashboardadmin.placeholder_rechercher_par_nom","Rechercher par nom, email, entreprise..."
"en","dashboardadmin.actions","Actions ("
"en","dashboardadmin.valider_tous","Valider tous"
"en","dashboardadmin.rejeter_tous","Rejeter tous"
"en","dashboardadmin.supprimer","Supprimer"
"en","dashboardadmin.exporter","Exporter"
"en","dashboardadmin.suspendu","Suspendu"
"en","dashboardadmin.inscrit","Inscrit le"
"en","dashboardadmin.title_valider_1","Valider"
"en","dashboardadmin.valider","Valider"
"en","dashboardadmin.title_rejeter_1","Rejeter"
"en","dashboardadmin.rejeter","Rejeter"
"en","dashboardadmin.actions_1","Actions"
"en","dashboardadmin.modifier","Modifier"
"en","dashboardadmin.envoyer_notification","Envoyer notification"
"en","dashboardadmin.suspendre","Suspendre"
"en","dashboardadmin.ractiver","Réactiver"
"en","dashboardadmin.rinitialiser_mdp","Réinitialiser MDP"
"en","dashboardadmin.supprimer_1","Supprimer"
"en","dashboardadmin.s","s)"
"en","dashboardadmin.filtres_avancs","Filtres avancés"
"en","dashboardadmin.type_duvre","Type d'œuvre"
"en","dashboardadmin.placeholder_tous_les_types","Tous les types"
"en","dashboardadmin.tous_les_types","Tous les types"
"en","dashboardadmin.statut","Statut"
"en","dashboardadmin.placeholder_tous_les_statuts","Tous les statuts"
"en","dashboardadmin.tous_les_statuts","Tous les statuts"
"en","dashboardadmin.attente","En attente"
"en","dashboardadmin.valid","Validé"
"en","dashboardadmin.rejet","Rejeté"
"en","dashboardadmin.wilaya","Wilaya"
"en","dashboardadmin.placeholder_toutes_les_wilayas","Toutes les wilayas"
"en","dashboardadmin.toutes_les_wilayas","Toutes les wilayas"
"en","dashboardadmin.prix_maximum","Prix maximum"
"en","dashboardadmin.placeholder_prix_max","Prix max"
"en","dashboardadmin.rinitialiser","Réinitialiser"
"en","dashboardadmin.gestion_des_uvres","Gestion des œuvres"
"en","dashboardadmin.liste_complte_des_1","Liste complète des œuvres ("
"en","dashboardadmin.rsultats_2","résultats)"
"en","dashboardadmin.ajouter_une_uvre","Ajouter une œuvre"
"en","dashboardadmin.placeholder_rechercher_par_titre","Rechercher par titre, auteur, type..."
"en","dashboardadmin.filtres","Filtres"
"en","dashboardadmin.actions_2","Actions ("
"en","dashboardadmin.valider_toutes","Valider toutes"
"en","dashboardadmin.rejeter_toutes","Rejeter toutes"
"en","dashboardadmin.exporter_1","Exporter"
"en","dashboardadmin.par","Par"
"en","dashboardadmin.vues","vues"
"en","dashboardadmin.approuver","Approuver"
"en","dashboardadmin.rejeter_1","Rejeter"
"en","dashboardadmin.voir_dtails","Voir détails"
"en","dashboardadmin.modifier_1","Modifier"
"en","dashboardadmin.envoyer_notification_1","Envoyer notification"
"en","dashboardadmin.mettre_avant","Mettre en avant"
"en","dashboardadmin.supprimer_2","Supprimer"
"en","dashboardadmin.filtres_avancs_1","Filtres avancés"
"en","dashboardadmin.type_dvnement","Type d'événement"
"en","dashboardadmin.placeholder_tous_les_types_1","Tous les types"
"en","dashboardadmin.tous_les_types_1","Tous les types"
"en","dashboardadmin.statut_1","Statut"
"en","dashboardadmin.placeholder_tous_les_statuts_1","Tous les statuts"
"en","dashboardadmin.tous_les_statuts_1","Tous les statuts"
"en","dashboardadmin.venir","À venir"
"en","dashboardadmin.cours","En cours"
"en","dashboardadmin.termin","Terminé"
"en","dashboardadmin.annul","Annulé"
"en","dashboardadmin.wilaya_1","Wilaya"
"en","dashboardadmin.placeholder_toutes_les_wilayas_1","Toutes les wilayas"
"en","dashboardadmin.toutes_les_wilayas_1","Toutes les wilayas"
"en","dashboardadmin.date_dbut","Date de début"
"en","dashboardadmin.rinitialiser_1","Réinitialiser"
"en","dashboardadmin.gestion_des_vnements","Gestion des événements"
"en","dashboardadmin.liste_complte_des_2","Liste complète des événements ("
"en","dashboardadmin.rsultats_3","résultats)"
"en","dashboardadmin.ajouter_vnement","Ajouter un événement"
"en","dashboardadmin.placeholder_rechercher_par_titre_1","Rechercher par titre, organisateur, lieu..."
"en","dashboardadmin.filtres_1","Filtres"
"en","dashboardadmin.exporter_2","Exporter"
"en","dashboardadmin.organis_par","Organisé par"
"en","dashboardadmin.participants","participants"
"en","dashboardadmin.dmarrer","Démarrer"
"en","dashboardadmin.annuler_1","Annuler"
"en","dashboardadmin.terminer","Terminer"
"en","dashboardadmin.voir_dtails_1","Voir détails"
"en","dashboardadmin.modifier_2","Modifier"
"en","dashboardadmin.envoyer_notification_2","Envoyer notification"
"en","dashboardadmin.mettre_avant_1","Mettre en avant"
"en","dashboardadmin.supprimer_3","Supprimer"
"en","dashboardadmin.filtres_avancs_2","Filtres avancés"
"en","dashboardadmin.type_patrimoine","Type de patrimoine"
"en","dashboardadmin.placeholder_tous_les_types_2","Tous les types"
"en","dashboardadmin.tous_les_types_2","Tous les types"
"en","dashboardadmin.wilaya_2","Wilaya"
"en","dashboardadmin.placeholder_toutes_les_wilayas_2","Toutes les wilayas"
"en","dashboardadmin.toutes_les_wilayas_2","Toutes les wilayas"
"en","dashboardadmin.classement","Classement"
"en","dashboardadmin.placeholder_tous_les_classements","Tous les classements"
"en","dashboardadmin.tous","Tous"
"en","dashboardadmin.unesco","UNESCO"
"en","dashboardadmin.national","National"
"en","dashboardadmin.local","Local"
"en","dashboardadmin.rinitialiser_2","Réinitialiser"
"en","dashboardadmin.gestion_patrimoine","Gestion du patrimoine"
"en","dashboardadmin.liste_des_sites","Liste des sites patrimoniaux ("
"en","dashboardadmin.rsultats_4","résultats)"
"en","dashboardadmin.ajouter_site","Ajouter un site"
"en","dashboardadmin.placeholder_rechercher_par_nom_1","Rechercher par nom, wilaya, type..."
"en","dashboardadmin.filtres_2","Filtres"
"en","dashboardadmin.exporter_3","Exporter"
"en","dashboardadmin.unesco_1","UNESCO"
"en","dashboardadmin.visites","visites"
"en","dashboardadmin.voir_dtails_2","Voir détails"
"en","dashboardadmin.modifier_3","Modifier"
"en","dashboardadmin.envoyer_notification_3","Envoyer notification"
"en","dashboardadmin.mettre_avant_2","Mettre en avant"
"en","dashboardadmin.supprimer_4","Supprimer"
"en","dashboardadmin.filtres_avancs_3","Filtres avancés"
"en","dashboardadmin.type_service","Type de service"
"en","dashboardadmin.placeholder_tous_les_types_3","Tous les types"
"en","dashboardadmin.tous_les_types_3","Tous les types"
"en","dashboardadmin.statut_2","Statut"
"en","dashboardadmin.placeholder_tous_les_statuts_2","Tous les statuts"
"en","dashboardadmin.tous_1","Tous"
"en","dashboardadmin.actif","Actif"
"en","dashboardadmin.inactif","Inactif"
"en","dashboardadmin.suspendu_1","Suspendu"
"en","dashboardadmin.wilaya_3","Wilaya"
"en","dashboardadmin.placeholder_toutes_les_wilayas_3","Toutes les wilayas"
"en","dashboardadmin.toutes_les_wilayas_3","Toutes les wilayas"
"en","dashboardadmin.prix_maximum_1","Prix maximum"
"en","dashboardadmin.placeholder_prix_max_1","Prix max"
"en","dashboardadmin.rinitialiser_3","Réinitialiser"
"en","dashboardadmin.gestion_des_services","Gestion des services"
"en","dashboardadmin.liste_des_services","Liste des services proposés ("
"en","dashboardadmin.rsultats_5","résultats)"
"en","dashboardadmin.ajouter_service","Ajouter un service"
"en","dashboardadmin.placeholder_rechercher_par_titre_2","Rechercher par titre, prestataire, type..."
"en","dashboardadmin.filtres_3","Filtres"
"en","dashboardadmin.exporter_4","Exporter"
"en","dashboardadmin.par_1","Par"
"en","dashboardadmin.rservations","réservations"
"en","dashboardadmin.suspendre_1","Suspendre"
"en","dashboardadmin.ractiver_1","Réactiver"
"en","dashboardadmin.voir_dtails_3","Voir détails"
"en","dashboardadmin.modifier_4","Modifier"
"en","dashboardadmin.envoyer_notification_4","Envoyer notification"
"en","dashboardadmin.mettre_avant_3","Mettre en avant"
"en","dashboardadmin.supprimer_5","Supprimer"
"en","dashboardadmin.file_modration","File de modération"
"en","dashboardadmin.grer_les_signalements","Gérer les signalements et contenus problématiques"
"en","dashboardadmin.signal_par","Signalé par"
"en","dashboardadmin.raison","Raison:"
"en","dashboardadmin.approuver_1","Approuver"
"en","dashboardadmin.supprimer_6","Supprimer"
"en","dashboardadmin.avertir","Avertir"
"en","dashboardadmin.aucun_signalement_attente_1","Aucun signalement en attente"
"en","dashboardadmin.modifier_lutilisateur","Modifier l'utilisateur"
"en","dashboardadmin.mettre_jour_les","Mettre à jour les informations de l'utilisateur"
"en","dashboardadmin.nom","Nom"
"en","dashboardadmin.prnom","Prénom"
"en","dashboardadmin.email_1","Email"
"en","dashboardadmin.tlphone","Téléphone"
"en","dashboardadmin.type_dutilisateur","Type d'utilisateur"
"en","dashboardadmin.visiteur","Visiteur"
"en","dashboardadmin.artisan","Artisan"
"en","dashboardadmin.guide","Guide"
"en","dashboardadmin.organisateur","Organisateur"
"en","dashboardadmin.statut_3","Statut"
"en","dashboardadmin.actif_1","Actif"
"en","dashboardadmin.inactif_1","Inactif"
"en","dashboardadmin.suspendu_2","Suspendu"
"en","dashboardadmin.entreprise","Entreprise"
"en","dashboardadmin.biographie","Biographie"
"en","dashboardadmin.annuler_2","Annuler"
"en","dashboardadmin.enregistrer","Enregistrer"
"en","dashboardadmin.suspendre_lutilisateur","Suspendre l'utilisateur"
"en","dashboardadmin.suspendre_temporairement_compte","Suspendre temporairement le compte de"
"en","dashboardadmin.dure_suspension_jours","Durée de suspension (jours)"
"en","dashboardadmin.raison_suspension","Raison de la suspension *"
"en","dashboardadmin.placeholder_indiquez_raison_cette","Indiquez la raison de cette suspension..."
"en","dashboardadmin.annuler_3","Annuler"
"en","dashboardadmin.suspendre_2","Suspendre"
"en","artisanat.title_tissage_textile_traditionnel","Tissage et textile traditionnel"
"en","artisanat.description_fouta_hak_tissus","Fouta, Haïk, tissus kabyles brodés à la main..."
"en","artisanat.title_cramique_poterie_sud","Céramique et poterie du Sud"
"en","artisanat.description_techniques_ancestrales_forme","Techniques ancestrales, formes géométriques uniques (ex. : Biskra, Ghardaïa)"
"en","artisanat.title_peinture_calligraphie","Peinture et calligraphie"
"en","artisanat.description_arabesque_art_contemporain","Arabesque, art contemporain amazigh..."
"en","artisanat.artisanat_algrien","Artisanat algérien"
"en","artisanat.dcouvrez_les_mtiers","Découvrez les métiers d'art qui font vibrer le patrimoine vivant de l'Algérie."
"en","artisanat.explorer_cette_catgorie","Explorer cette catégorie"
"en","artisanat.boutique_ligne","Boutique en ligne"
"en","artisanat.bientt_disponible_achetez","Bientôt disponible : achetez directement auprès des artisans algériens 
              et soutenez le patrimoine vivant de notre pays."
"en","artisanat.acheter_produit_local","Acheter un produit local (à venir)"
"en","artisanat.tre_notifi_lancement","Être notifié du lancement"
"en","apropos.title_transmission","Transmission"
"en","apropos.description_prserver_transmettre_riche","Préserver et transmettre le riche patrimoine culturel algérien aux générations futures."
"en","apropos.title_accessibilit","Accessibilité"
"en","apropos.description_rendre_culture_accessible","Rendre la culture accessible à tous, sans barrières géographiques ou économiques."
"en","apropos.title_visibilit_locale_internationale","Visibilité locale & internationale"
"en","apropos.description_mettre_lumire_richesse","Mettre en lumière la richesse culturelle algérienne sur la scène mondiale."
"en","apropos.propos_culture_algrie","À propos de Culture Algérie"
"en","apropos.notre_mission","Notre Mission"
"en","apropos.culture_algrie_est","Culture Algérie est une initiative indépendante portée par des passionnés 
                  de patrimoine, de littérature, de cinéma et d'art algérien."
"en","apropos.notre_mission_mettre","Notre mission : mettre en lumière la richesse culturelle de notre pays, 
                  faciliter l'accès aux œuvres, relier les acteurs et favoriser la transmission 
                  aux jeunes générations."
"en","apropos.nos_valeurs","Nos Valeurs"
"en","apropos.nous_contacter","Nous Contacter"
"en","apropos.prnom","Prénom"
"en","apropos.placeholder_votre_prnom","Votre prénom"
"en","apropos.nom","Nom"
"en","apropos.placeholder_votre_nom","Votre nom"
"en","apropos.email","Email"
"en","apropos.placeholder_votreemailexemplecom","votre.email@exemple.com"
"en","apropos.sujet","Sujet"
"en","apropos.placeholder_objet_votre_message","Objet de votre message"
"en","apropos.message","Message"
"en","apropos.placeholder_votre_message","Votre message..."
"en","apropos.envoyer_message","Envoyer le message"
"en","apropos.contact_direct","Contact direct"
"en","apropos.pour_toute_question","Pour toute question ou collaboration :"
"en","apropos.contactculturealgeriedz","contact@culturealgerie.dz"
"en","ajouteroeuvre.chargement_des_catgories","Chargement des catégories..."
"en","ajouteroeuvre.catgories","Catégories"
"en","ajouteroeuvre.aucune_catgorie_disponible","Aucune catégorie disponible pour ce type d'œuvre."
"en","ajouteroeuvre.catgories_1","Catégories"
"en","ajouteroeuvre.slectionnez_une_plusieurs","Sélectionnez une ou plusieurs catégories pour classifier votre œuvre"
"en","ajouteroeuvre.mode_ddition","Mode d'édition"
"en","ajouteroeuvre.choisissez_comment_crer","Choisissez comment créer votre article"
"en","ajouteroeuvre.formulaire_classique","Formulaire classique"
"en","ajouteroeuvre.simple_rapide_pour","Simple et rapide pour les articles courts"
"en","ajouteroeuvre.diteur_avanc","Éditeur avancé"
"en","ajouteroeuvre.mise_page_riche","Mise en page riche avec blocs modulaires"
"en","ajouteroeuvre.lditeur_avanc_vous","L'éditeur avancé vous permet de créer des articles structurés avec :"
"en","ajouteroeuvre.titres_soustitres_hirarchiss","Titres et sous-titres hiérarchisés"
"en","ajouteroeuvre.images_avec_lgendes","Images avec légendes et différents layouts"
"en","ajouteroeuvre.citations_mises_forme","Citations mises en forme"
"en","ajouteroeuvre.listes_tableaux","Listes et tableaux"
"en","ajouteroeuvre.blocs_code_pour","Blocs de code pour les articles techniques"
"en","ajouteroeuvre.isbn","ISBN"
"en","ajouteroeuvre.nombre_pages","Nombre de pages"
"en","ajouteroeuvre.placeholder_250","Ex: 250"
"en","ajouteroeuvre.dure_minutes","Durée (minutes)"
"en","ajouteroeuvre.placeholder_120","Ex: 120"
"en","ajouteroeuvre.ralisateur","Réalisateur"
"en","ajouteroeuvre.placeholder_nom_ralisateur","Nom du réalisateur"
"en","ajouteroeuvre.dure_totale","Durée totale"
"en","ajouteroeuvre.placeholder_4530","Ex: 45:30"
"en","ajouteroeuvre.label_maison_production","Label / Maison de production"
"en","ajouteroeuvre.placeholder_nom_label","Nom du label"
"en","ajouteroeuvre.auteur","Auteur"
"en","ajouteroeuvre.placeholder_nom_lauteur","Nom de l'auteur"
"en","ajouteroeuvre.source_publication","Source / Publication"
"en","ajouteroeuvre.placeholder_watan_monde","Ex: El Watan, Le Monde"
"en","ajouteroeuvre.rsum_larticle","Résumé de l'article"
"en","ajouteroeuvre.placeholder_rsum_chapeau_larticle","Résumé ou chapeau de l'article..."
"en","ajouteroeuvre.url_larticle_optionnel","URL de l'article (optionnel)"
"en","ajouteroeuvre.journal_revue","Journal / Revue"
"en","ajouteroeuvre.placeholder_nom_journal_scientifique","Nom du journal scientifique"
"en","ajouteroeuvre.doi","DOI"
"en","ajouteroeuvre.placeholder_101234example","10.1234/example"
"en","ajouteroeuvre.volume","Volume"
"en","ajouteroeuvre.placeholder_ex_12","Ex: 12"
"en","ajouteroeuvre.numro","Numéro"
"en","ajouteroeuvre.placeholder_ex_3","Ex: 3"
"en","ajouteroeuvre.pages","Pages"
"en","ajouteroeuvre.placeholder_123145","Ex: 123-145"
"en","ajouteroeuvre.article_valu_par","Article évalué par des pairs"
"en","ajouteroeuvre.matriau_principal","Matériau principal"
"en","ajouteroeuvre.placeholder_slectionnez_matriau","Sélectionnez un matériau"
"en","ajouteroeuvre.aucun_matriau_disponible","Aucun matériau disponible"
"en","ajouteroeuvre.technique_utilise","Technique utilisée"
"en","ajouteroeuvre.placeholder_slectionnez_une_technique","Sélectionnez une technique"
"en","ajouteroeuvre.aucune_technique_disponible","Aucune technique disponible"
"en","ajouteroeuvre.dimensions","Dimensions (cm)"
"en","ajouteroeuvre.placeholder_30x20x15","Ex: 30x20x15"
"en","ajouteroeuvre.poids","Poids (kg)"
"en","ajouteroeuvre.placeholder_ex_1_5","Ex: 1.5"
"en","ajouteroeuvre.technique_artistique","Technique artistique"
"en","ajouteroeuvre.placeholder_huile_sur_toile","Ex: Huile sur toile, Aquarelle"
